"","Dive","Start","Bottom.Start","Ascent.Start","Ascent.End"
"1",1,2010-09-11 22:59:20,2010-09-11 23:03:20,2010-09-11 23:04:00,2010-09-11 23:04:10
"2",2,2010-09-11 23:04:40,2010-09-11 23:04:50,2010-09-11 23:07:20,2010-09-11 23:08:30
"3",3,2010-09-11 23:09:00,2010-09-11 23:13:00,2010-09-11 23:17:30,2010-09-11 23:18:00
"4",4,2010-09-11 23:18:40,2010-09-11 23:19:00,2010-09-11 23:26:50,2010-09-11 23:27:20
"5",5,2010-09-11 23:28:10,2010-09-11 23:28:50,2010-09-11 23:35:40,2010-09-11 23:36:20
"6",6,2010-09-11 23:37:10,2010-09-11 23:37:30,2010-09-11 23:44:40,2010-09-11 23:45:30
"7",7,2010-09-11 23:46:20,2010-09-11 23:46:50,2010-09-11 23:52:10,2010-09-11 23:52:50
"8",8,2010-09-11 23:53:30,2010-09-11 23:54:00,2010-09-11 23:59:40,2010-09-12 00:00:10
"9",9,2010-09-12 00:00:50,2010-09-12 00:01:10,2010-09-12 00:05:30,2010-09-12 00:06:10
"10",10,2010-09-12 00:06:50,2010-09-12 00:07:10,2010-09-12 00:11:10,2010-09-12 00:11:40
"11",11,2010-09-12 00:12:30,2010-09-12 00:13:00,2010-09-12 00:17:50,2010-09-12 00:18:30
"12",12,2010-09-12 00:18:50,2010-09-12 00:19:10,2010-09-12 00:22:00,2010-09-12 00:23:00
"13",13,2010-09-12 00:23:50,2010-09-12 00:24:10,2010-09-12 00:39:00,2010-09-12 00:39:30
"14",14,2010-09-12 00:39:50,2010-09-12 00:40:20,2010-09-12 00:44:30,2010-09-12 00:46:20
"15",15,2010-09-12 00:46:50,2010-09-12 00:47:10,2010-09-12 00:49:30,2010-09-12 00:50:30
"16",16,2010-09-12 00:50:40,2010-09-12 00:50:50,2010-09-12 00:51:50,2010-09-12 00:53:10
"17",17,2010-09-12 00:54:20,2010-09-12 00:54:40,2010-09-12 00:54:40,2010-09-12 00:55:10
"18",18,2010-09-12 00:56:40,2010-09-12 00:57:00,2010-09-12 00:57:00,2010-09-12 00:57:20
"19",19,2010-09-12 01:20:20,2010-09-12 01:21:50,2010-09-12 01:22:30,2010-09-12 01:22:50
"20",20,2010-09-12 01:23:20,2010-09-12 01:23:40,2010-09-12 01:26:00,2010-09-12 01:26:10
"21",21,2010-09-12 02:06:30,2010-09-12 02:07:20,2010-09-12 02:09:30,2010-09-12 02:11:20
